Date,Regime,Raw_AI_Pred,Final_Signal,Close_Price
2026-02-13,0,1,BUY (Long),6836.169921875
2026-02-13,0,1,BUY (Long),6836.169921875
2026-02-13,0,1,BUY (Long),6836.169921875
2026-02-17,0,1,BUY (Long),6843.22021484375
2026-02-18,0,1,BUY (Long),6881.31005859375
2026-02-19,0,1,BUY (Long),6861.89013671875
2026-02-20,0,1,BUY (Long),6909.509765625
2026-02-23,0,1,BUY (Long),6837.75
2026-02-24,0,1,BUY (Long),6890.06982421875
2026-02-25,0,1,BUY (Long),6946.1298828125
2026-02-26,0,1,BUY (Long),6908.85986328125
2026-02-27,0,1,BUY (Long),6878.8798828125
2026-03-02,0,0,CASH (Flat),6881.6201171875
2026-03-03,0,1,BUY (Long),6816.6298828125
2026-03-04,0,1,BUY (Long),6869.5
2026-03-05,0,0,CASH (Flat),6830.7099609375
2026-03-06,0,0,CASH (Flat),6740.02001953125
2026-03-09,0,1,BUY (Long),6795.990234375
2026-03-10,0,1,BUY (Long),6781.47998046875
2026-03-11,0,1,BUY (Long),6775.7998046875
2026-03-13,0,1,BUY (Long),6672.6201171875
2026-03-16,0,1,BUY (Long),6632.18994140625
2026-03-17,0,1,BUY (Long),6699.3798828125
2026-03-18,0,1,BUY (Long),6716.08984375
2026-03-19,0,1,BUY (Long),6624.7001953125
2026-03-20,0,1,BUY (Long),6606.490234375
2026-03-23,0,1,BUY (Long),6506.47998046875
2026-03-24,0,1,BUY (Long),6581.0
2026-03-25,0,1,BUY (Long),6556.3701171875
2026-03-26,0,1,BUY (Long),6591.89990234375
2026-03-26,0,1,BUY (Long),6477.16015625
2026-03-27,0,1,BUY (Long),6368.85009765625
2026-03-30,0,1,BUY (Long),6343.72021484375
2026-03-31,0,0,CASH (Flat),6528.52001953125
2026-04-01,0,1,BUY (Long),6575.31982421875
2026-04-02,0,0,CASH (Flat),6582.68994140625
2026-04-03,0,1,BUY (Long),6582.68994140625
2026-04-06,0,1,BUY (Long),6611.830078125
2026-04-07,0,1,BUY (Long),6616.85009765625
2026-04-08,0,0,CASH (Flat),6782.81005859375
2026-04-09,0,1,BUY (Long),6824.66015625
2026-04-10,0,1,BUY (Long),6816.89013671875
2026-04-13,0,1,BUY (Long),6886.240234375
2026-04-14,0,1,BUY (Long),6967.3798828125
2026-04-15,0,1,BUY (Long),7022.9501953125
2026-04-16,0,1,BUY (Long),7041.27978515625
2026-04-17,0,0,CASH (Flat),7126.06005859375
2026-04-20,0,0,CASH (Flat),7109.14013671875
2026-04-21,0,1,BUY (Long),7064.009765625
2026-04-22,0,1,BUY (Long),7137.89990234375
2026-04-23,0,1,BUY (Long),7108.39990234375
2026-04-24,0,1,BUY (Long),7165.080078125
2026-04-27,0,1,BUY (Long),7173.91015625
2026-04-28,0,1,BUY (Long),7138.7998046875
2026-04-29,0,1,BUY (Long),7135.9501953125
2026-04-30,0,1,BUY (Long),7209.009765625
2026-05-01,0,1,BUY (Long),7230.1201171875
2026-05-04,0,1,BUY (Long),7200.75
2026-05-05,0,1,BUY (Long),7259.22021484375
2026-05-06,0,0,CASH (Flat),7365.1201171875
2026-05-07,0,1,BUY (Long),7337.10986328125
2026-05-08,0,1,BUY (Long),7398.93017578125
2026-05-11,0,1,BUY (Long),7412.83984375
2026-05-12,0,1,BUY (Long),7400.9599609375
2026-05-13,0,1,BUY (Long),7444.25
2026-05-14,0,1,BUY (Long),7501.240234375
2026-05-15,0,1,BUY (Long),7408.5
2026-05-18,0,1,BUY (Long),7403.0498046875
2026-05-19,0,1,BUY (Long),7353.60986328125
2026-05-20,0,1,BUY (Long),7432.97021484375
2026-05-21,0,1,BUY (Long),7445.72021484375
2026-05-22,0,1,BUY (Long),7473.47021484375
2026-05-25,0,1,BUY (Long),7473.47021484375
2026-05-26,0,1,BUY (Long),7519.1201171875
2026-05-27,0,1,BUY (Long),7520.35986328125
2026-05-28,0,1,BUY (Long),7563.6298828125
2026-05-29,0,1,BUY (Long),7580.06005859375
2026-06-01,0,1,BUY (Long),7599.9599609375
2026-06-02,0,1,BUY (Long),7609.77978515625
2026-06-03,0,1,BUY (Long),7553.68017578125
2026-06-04,0,1,BUY (Long),7584.31005859375
2026-06-05,0,1,BUY (Long),7383.740234375
2026-06-08,0,1,BUY (Long),7405.72998046875
2026-06-09,0,1,BUY (Long),7386.64990234375
2026-06-10,0,1,BUY (Long),7266.990234375
2026-06-11,0,1,BUY (Long),7394.2998046875
2026-06-12,0,1,BUY (Long),7431.4599609375
2026-06-15,0,0,CASH (Flat),7554.2900390625
